title,href
"포스코이앤씨, 오티에르·더샵에 'AI 헬스케어 서비스' 도입",https://www.yna.co.kr/view/AKR20260312073500003?input=1195m
포천 농가서 AI 항원 검출…닭 4만5000마리 예방적 살처분,https://www.hankyung.com/article/202603138831i
"한컴, 오픈데이터로더 PDF v2.0 공개…문서 AI 시장 공략 박차",https://zdnet.co.kr/view/?no=20260312152842
"헥토그룹, 채용 연계 AI 경진대회 성료",https://www.newsis.com/view/NISX20260312_0003544863
포토샵도 필요 없는 시대…AI 압박 속 어도비 CEO 사임,https://www.hankyung.com/article/202603138253i
"JKM, 세종캠퍼스 준공…AI 반도체 소재 생산기지 확보",https://www.newsis.com/view/NISX20260313_0003546566
2조원 규모 국가 GPU 확충 닻 올렸다…'AI 고속도로' 시동,https://zdnet.co.kr/view/?no=20260312182846
"정재헌 SKT CEO ""통신사 넘어 AI 인프라 설계자로""",https://www.yna.co.kr/view/AKR20260313072100017?input=1195m
"""AI 종목 투자하면 고수익"" 20억 가로챈 수거책 구속",https://www.newsis.com/view/NISX20260312_0003545197
[AI픽] 과기부 'AI 윤리원칙' 제정 착수…전문가 자문단 발족,https://www.yna.co.kr/view/AKR20260312156200017?input=1195m
