title,href
"[단독] 크래프톤·한화, 피지컬 AI 합작사 설립",https://www.sedaily.com/article/20018791?ref=naver
"크래프톤·한화, 합작법인 만든다…방산 피지컬 AI 사업화",https://www.newsis.com/view/NISX20260313_0003546737
AI가 산재이력 학습해 위험사업장 선별…노동부 AX 세미나 개최,https://www.yna.co.kr/view/AKR20260312149200530?input=1195m
"""SK하이닉스, AI 메모리 수요 급증 최대 수혜…목표가 170만원""-KB",https://www.hankyung.com/article/2026031380026
"李대통령 ""국민주권 정부니까 가능…AI전환 신속 추진""",https://view.asiae.co.kr/article/2026031308185297037
"삼성SDI, 피지컬AI용 전고체 배터리 첫 공개",https://weekly.donga.com/3/all/11/6134989/1
챗GPT로 들어간 커머스...아모레·요기요 잇단 ‘AI’ 연동,http://www.edaily.co.kr/news/newspath.asp?newsid=03699846645382992
"과기정통·산업·중기부, 4320억 규모 AI전환 사업 통합 공고",https://www.newsis.com/view/NISX20260312_0003545057
"파운데이션 모델 경쟁 접은 NC AI, 게임 시장 공략…'산업 AI'로 승부 건...",https://zdnet.co.kr/view/?no=20260313114636
"네이버클라우드, 코난테크놀로지와 국방·제조 AI 맞손",https://www.news1.kr/it-science/general-it/6100135
