title,href
"대전시 ""AI·기술혁신 기반 국방분야 상장기업 8곳 육성""",https://www.newsis.com/view/NISX20260312_0003545310
"포항시, AI 추진단 공식 출범…""산업 혁신 대전환""",https://www.newsis.com/view/NISX20260312_0003546230
"박수현, 1호 공약 '충남 AI대전환'…박정현·김하진 품었다",https://www.newsis.com/view/NISX20260312_0003545540
AI 호황에 ICT 수출 '역대 최대'…증가율·흑자까지 3관왕,https://www.yna.co.kr/view/AKR20260312073000017?input=1195m
"구글, AI로 도시돌발홍수 24시간전 예측…규제사유로 韓은 제외",https://www.yna.co.kr/view/AKR20260313005800091?input=1195m
"수자원公, 日 기업에 AI·디지털트윈 물관리 운영체계 선봬",https://www.newsis.com/view/NISX20260312_0003545018
"삼성, 갤S26·갤버즈4 전세계 120여개국 출시…""AI 폰 완성도 높여""",https://www.newsis.com/view/NISX20260311_0003543132
"구글, 클라우드·AI 보안 기업 '위즈' 인수 완료",https://www.newsis.com/view/NISX20260312_0003545181
[AI병법]② 인간은 '공격결정'만…공격대상 분석 몇초면 끝난다,https://www.news1.kr/it-science/security-hacking/6098600
"""SW 개발도 AI가 하는 시대…인재 양성 체계 바꿔야""",https://www.news1.kr/it-science/general-it/6099858
